"Add","Toevoegen"
"Add gift message for shopping cart",""
"Add gift messages for quote item of shopping cart",""
"Add gift messages to products of shopping cart",""
"Add gift options",""
"Add gift options for Individual Items",""
"Add gift options for the Entire Order",""
"Add gift options.",""
"Allow Gift Messages for Order Items","Kadoberichten toestaan bij bestelde artikelen"
"Allow Gift Messages on Order Level","Kadoberichten toestaan bij hele bestelling"
"An error occurred while saving the gift message.","Er is een fout opgetreden bij het opslaan van het kadobericht."
"Are you sure?","Weet u het zeker?"
"Cancel","Annuleren"
"Do you have any gift items in your order?","Zitten er kado's bij uw bestelling?"
"Edit","Wijzigen"
"From","Van"
"Gift Message","Bericht bij kado"
"Gift Message API",""
"Gift Options","Kado opties"
"Gift Options for",""
"Gift Options for Individual Items",""
"Gift Options for the Entire Order.",""
"Gift Options for this address.",""
"Item %d of %d","Artikel %d van %d"
"Message","Bericht"
"No","Nee"
"OK",""
"Save Gift Message","Kadobericht opslaan"
"The gift message has been removed","Het kadobericht is verwijderd."
"The gift message has been saved","Het kadobericht is opgeslagen."
"The gift message has been saved.","Het kadobericht is opgeslagen."
"To","Aan"
"Unknown entity type","Onbekend entiteittype"
"Use config","Gebruik config"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen aan het artikel."
"You can leave this box blank if you do not wish to add a gift message for this address.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen voor dit adres."
"You can leave this box blank if you do not wish to add a gift message for whole order.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen aan deze order."
