"Available tasks","Beschikbare taken"
"Code","Interne naam"
"Created","Aangemaakt"
"Executed","Uitgevoerd"
"Finished","Afgerond"
"List View","Lijst met taken"
"Messages","Berichten"
"Schedule Configuration","Configuratie Taakplanner"
"Scheduled","Gepland"
"Scheduled tasks","Geplande taken"
"Scheduler","Taakplanner"
"Scheduler Timeline","Rapportage"
"Timeline View","Tijdlijn met taken"
"Today","Vandaag"
"error","Fout"
"missed","Niet uitgevoerd"
"pending","In afwachting"
"running","Bezig"
"success","Voltooid"
