"Add New Row","Nieuwe rij toevoegen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"An error occurred while getting requested content. Please contact the store owner.","An error occurred while getting requested content. Please contact the store owner."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","Er is een fout opgetreden bij het opslaan."
"Availability:","Availability:"
"Back","Terug"
"Canceled","Geannuleerd"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Datum"
"Default Link Title","Standaard-linktitel"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Disable Guest Checkout if Cart Contains Downloadable Items","Niet-ingelogd afrekenen uitschakelen als het winkelwagentje download-producten bevat."
"Downloadable Information","Downloads"
"Downloadable Product","Download-product"
"Downloadable Product Options","Opties download-product"
"Downloadable product Section","Sectie Download-product"
"Excl. Tax","Excl. BTW"
"File","Bestand"
"From:","Van:"
"Gift Message","Bericht bij kado"
"Go to <a href=%s"">My Downloadable Products</a>","Ga naar <a href=%s"">Mijn download-producten</a>"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"In stock","Op voorraad"
"Incl. Tax","Incl. BTW"
"Invalid download URL host.","Ongeldige download URL host"
"Invalid download URL scheme.","Ongeldige download URL schema"
"Invalid download link type.","Ongeldige download link type"
"Invoiced","Gefactureerd"
"Links can be purchased separately","Links kunnen afzonderlijk worden gekocht"
"Max. Downloads","Max. downloads"
"Message:","Bericht:"
"Move to Wishlist","Verplaats naar verlanglijst"
"My Downloadable Products","Mijn downloads"
"Open Links in New Window","Links openen in nieuw venster"
"Order #","Bestelnummer"
"Order Item Status to Enable Downloads","Artikelstatus om downloads in te schakelen"
"Ordered","Besteld"
"Out of stock","Niet op voorraad"
"Pending","Wachtende"
"Please log in to download your product.","Log in a.u.b. om uw product te downloaden."
"Please set resource file and link type.","Voer bestand en type in"
"Please specify product link(s).","Specificeer productlink(s) a.u.b."
"Price","Prijs"
"Qty","Aantal"
"Refunded","Terugbetaald"
"Remaining Downloads","Resterende downloads"
"Remove Item","Artikel verwijderen"
"Requested link does not exist.","Gevraagde link is niet beschikbaar"
"Sample","demo"
"Shareable","Deelbaar"
"Shipped","Verzonden"
"Sort Order","Sorteervolgorde"
"Start Download","Start het downloaden"
"Status","Status"
"The file does not exist.","Dit bestand bestaat niet"
"The link has expired.","Deze link is verlopen"
"The link is not available.","Deze link is niet beschikbaar"
"Title","Titel"
"To:","Tot:"
"U","U"
"Unlimited","Onbeperkt"
"Use Content-Disposition","Use Content-Disposition"
"View Order","Bestelling bekijken"
"You have not purchased any downloadable products yet.","U hebt nog geen producten besteld die u kunt downloaden."
"attachment","bijlage"
"download","download"
"inline","inline"
"sample","sample"
"Availability: In stock.","Beschikbaarheid:  In voorraad"
"Availability: Out of stock.","Beschikbaarheid:  Niet in voorraad."
"Can't connect to remote host, error: %s","Kan geen verbinding maken met remote host, error: %s"
"File does not exists","Bestand bestaat niet"
"Guest checkout will only work with shareable","Niet-ingelogd afrekenen"" werkt alleen met deelbare"
"Invalid download URL host","Ongeldige host download-URL"
"Invalid download URL scheme","Ongeldig scheme download-URL"
"Invalid download link type","Ongeldig download-linktype"
"Link has expired.","Link is verlopen."
"Link is not available.","Link is niet beschikbaar."
"Please set resource file and link type","Resource-file en linktype instellen a.u.b."
"Requested link doesn't exist.","Opgevraagde link bestaat niet."
"Sorry, the was an error getting requested content. Please contact store owner.","Excuses. Er is een fout opgetreden bij het verzamelen van de opgevraagde content. Neem contact met ons a.u.b."
"Sorry, there was an error getting requested content","Sorry, er is een fout opgetreden bij het ophalen van de gevraagde informatie."
"Sorry, there was an error getting requested content. Please contact store owner.","Excuses. Er is een fout opgetreden bij het verzamelen van de opgevraagde content. Neem contact met ons a.u.b."
"You have no Downloadable Products.","U hebt geen download-producten"
"Go to <a href=%s>My Downloadable Products</a>","Ga naar <a href=%s>Mijn download-producten</a>"
