"%s %s %s - %s. %s. %s",""
"3D Secure",""
"3D Secure Card Validation",""
"API Login ID","API Login ID"
"Accepted Currency","Toegestane valuta"
"Allow Partial Authorization","Sta incomplete autorisatie toe"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.",""
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Authoriseer en Capture"
"Authorize.Net Transaction ID %s",""
"Authorize.net","Authorize.net"
"Cancel",""
"Centinel API URL",""
"Credit Card Types","Creditcard maatschappij"
"Credit Card Verification","Creditcard verficatie"
"Credit Card: xxxx-%s",""
"Debug","Debuggen"
"Email Customer","E-mail klant"
"Enabled","Ingeschakeld"
"Error in payment gateway.","Fout in de betaalomgeving"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).",""
"Gateway error: %s","Error betaalomgeving: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.",""
"Invalid amount for authorization.","Ongeldige hoeveelheid voor autorisatie."
"Invalid amount for capture.",""
"Invalid amount for partial authorization.",""
"Invalid amount for refund.",""
"Invalid split tenderId ID.",""
"Maximum Order Total","Maximale bestelwaarde"
"Merchant's Email","Handelaar E-mail"
"Minimum Order Total","Minimale bestelwaarde"
"New Order Status","Status nieuwe bestelling"
"Payment Action","Betalingsactie"
"Payment authorization error.","Betaling autorisatiefout."
"Payment canceling error.",""
"Payment capturing error.",""
"Payment from Applicable Countries","Betalingen toestaan"
"Payment from Specific Countries","Betaling vanuit specifieke landen"
"Payment partial authorization error.",""
"Payment refunding error.",""
"Payment updating error.",""
"Payment voiding error.",""
"Processed Amount",""
"Remaining Balance",""
"Severe 3D Secure Card Validation",""
"Severe Validation Removes Chargeback Liability on Merchant",""
"Shopping cart contents and/or address has been changed.",""
"Sort Order","Sorteervolgorde"
"Test Mode","Test modus"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.",""
"There was an error canceling transactions. Please contact us or try again later.",""
"Title","Titel"
"Transaction Key","Transactiecode"
"You have reached the maximum number of credit card allowed to be used for the payment.",""
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.",""
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.",""
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.",""
"Your payment has been cancelled. All authorized amounts have been released.",""
"amount %s",""
"authorize",""
"authorize and capture",""
"capture",""
"failed",""
"refund",""
"successful",""
"void",""
"Centinel Api URL",""
