"%s was added to your shopping cart.","%s is toegevoegd aan uw winkelwagen."
"%s was updated in your shopping cart.","%s is bijgewerkt in uw winkelwagen."
"* Required Fields","* Verplichte velden"
"Add New Address","Nieuw adres toevoegen"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Add coupon code for shopping cart","Voeg coupon code toe voor winkelwagen"
"Add gift messages to shopping cart","Voeg cadeau-bericht to aan winkelwagen"
"Add product to shopping cart","Voeg product toe aan winkelwagen"
"Add product(s) to shopping cart","Voeg product(en) toe aan winkelwagen"
"Add to Cart","In winkelwagen"
"Add to Compare","Voeg toe aan productvergelijking"
"Add to Wishlist","Zet op verlanglijst"
"Additional Product Info","Additionele productinformatie"
"Address","Adres"
"Address %s of %s","Adres %s van %s"
"After Adding a Product Redirect to Shopping Cart","Winkelmandje tonen na toevoegen van een product"
"Allow Guest Checkout","Afrekenen als gast toestaan"
"Already registered?","Een vorige keer uw gegevens bewaard?"
"An error occurred in the process of payment","Er is een fout opgetreden tijdens het betalen"
"An error occurred while deleting this condition.","Er is een fout opgetreden bij het verwijderen van deze conditie"
"An error occurred while saving this condition.","Er is een fout opgetreden bij het opslaan van deze conditie"
"Apply Coupon","Kortingscode gebruiken"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel wilt verwijderen uit uw winkelwagen?"
"Back","Terug"
"Back to Billing Information","Terug naar factuurinformatie"
"Back to Select Addresses","Terug naar adresinformatie"
"Back to Shipping Information","Terug naar afleveradres"
"Back to Shopping Cart","Terug naar winkelwagen"
"Based on your selection, you may be interested in the following items:","Gebaseerd op uw selectie, bent u wellicht ook geïnteresseerd in de volgende artikelen:"
"Billing Address","Factuuradres"
"Billing Information","Factuuradres"
"Billing Information - %s","Factuuradres - %s"
"Cancel Coupon","Kortingscode annuleren"
"Cannot add item to the shopping cart.","Kan dit artikel niet toevoegen aan de winkelwagen"
"Cannot add the item to shopping cart","Kan dit artikel niet toevoegen aan de winkelwagen"
"Cannot add the item to shopping cart.","Kan dit artikel niet toevoegen aan de winkelwagen"
"Cannot apply the coupon code.","We kunnen de kortingscode niet toepassen."
"Cannot configure product.","Kan product niet configureren."
"Cannot open the overview page","Kan de overzichtspagina niet openen"
"Cannot process the item.","Kan het item niet verwerken."
"Cannot remove the item.","Kan dit artikel niet verwijderen"
"Cannot update shopping cart.","Kan de winkelwagen niet bijwerken"
"Cannot update the item.","Kan het item niet bijwerken."
"Card Verification Number Visual Reference","Kaart bevestigingsnummer visuele referentie"
"Cart Product API","Winkelwagen product-API"
"Cart Subtotal:","Subtotaal winkelwagen:"
"Change","Wijzigen"
"Change Billing Address","Wijzigen"
"Checkbox Text","Tekst checkbox"
"Checkout","Afrekenen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Method","Registreren en bestellen"
"Checkout Options","Betaalopties"
"Checkout Progress Wrapper","Voortgangblok"
"Checkout Section","Sectie Afrekenen"
"Checkout Terms and Conditions","Algemene Voorwaarden"
"Checkout as Guest","Eenmalige aankoop. Geen account aanmaken"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"Checkout with Multiple Addresses","Afrekenen met meerdere adressen"
"City","Plaats"
"Clear Shopping Cart","Leeg winkelwagen"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">Druk een kopie af</a> van uw bestelbevestiging."
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">hier</a> om verder te gaan met winkelen."
"Close","Sluiten"
"Company","Bedrijf"
"Condition Name","Naam van voorwaarde"
"Configurable Product Image","Afbeelding configureerbaar product"
