"Access denied.","Toegang geweigerd."
"Can not find webservice adapter.","Kan de webservice-adapter niet vinden."
"Client Session Timeout (sec.)","Time-out klantsessie"
"Default Response Charset","Standaard karakterset"
"Email","E-mail"
"Enable WSDL Cache","WSDL-cache inschakelen"
"General Settings","Algemene instellingen"
"Invalid webservice adapter specified.","Webservice incorrect"
"Invalid webservice handler specified.","Webservice incorrect"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Sectie"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rollen"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Gebruikers"
"Unable to login.","Kan niet inloggen"
"User Name","Gebruikersnaam"
"WS-I Compliance","WS-I Compliance"
"Web Services","Webservices"
"Your account has been deactivated.","Uw account is gedeactiveerd."
