"ALL","ALLE"
"ANY","ÉÉN OF MEERDERE"
"Add","Toevoegen"
"Apply","Toepassen"
"Conditions Combination","Criteria Combinaties"
"Customer Groups must be specified.","Klantgroep moet worden aangegeven."
"End Date must be greater than Start Date.","Eind-datum moet groter zijn dan de start-datum."
"FALSE","NIET WAAR"
"If %s of these conditions are %s:","Als %s van deze voorwaarden %s zijn:"
"Invalid discount amount.","Ongeldig kortingsbedrag"
"Open Chooser","Kiezer openen"
"Perform following actions","Voer de volgende acties uit"
"Please choose a condition to add...","Kies een conditie om toe te voegen aub..."
"Please choose an action to add...","Kies een actie om toe te voegen..."
"Remove","Verwijderen"
"TRUE","WAAR"
"Websites must be specified.","Websites moeten zijn aangegeven"
"by","door"
"contains","bevat"
"does not contain","bevat niet"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of kleiner dan"
"greater than","groter dan"
"is","is"
"is not","is niet"
"is not one of","behoort niet tot"
"is one of","behoort tot"
"less than","kleiner dan"
"to","naar"
