"Actions","Acties"
"An error occurred while marking notification as read.","Er is iets misgegaan bij het markeren van de melding als 'gelezen'."
"An error occurred while marking the messages as read.","Er is iets misgegaan bij het markeren van het bericht als 'gelezen'."
"An error occurred while removing messages.","Er is iets misgegaan bij het verwijderen van berichten."
"An error occurred while removing the message.","Er is iets misgegaan bij het verwijderen van het bericht."
"Are you sure?","Handeling uitvoeren?"
"Date Added","Datum toegevoegd"
"Last Update","Laatste wijziging"
"Mark as Read","Markeren als 'gelezen'"
"Mark as read","Markeer als 'gelezen'"
"Message","Bericht"
"Messages Inbox","Postvak IN"
"Notifications","Meldingen"
"Please select messages.","Selecteer de berichten."
"Read Details","Details lezen"
"Remove","Verwijderen"
"Severity","Ernst"
"Show List","Lijst tonen"
"Show Toolbar","Toolbar tonen"
"The message has been marked as read.","Het bericht is gemarkeerd als gelezen."
"The message has been removed.","Het bericht is verwijderd"
"Total of %d record(s) have been marked as read.","In totaal %d record(s) zijn gemarkeerd als 'gelezen'."
"Total of %d record(s) have been removed.","In totaal %d record(s) zijn verwijderd"
"Unable to proceed. Please, try again.","Probeer het opnieuw"
"Update Frequency","Update interval"
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen"
"Wrong message type","Verkeerd bericht-type"
"critical","kritiek"
"major","belangrijk"
"minor","gering"
"notice","melding"
