" in rows: "," in rijen:"
"-- Please Select --","-- Selecteer a.u.b. --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter moet een isntantie zijn van Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Adapter-type mag geen lege string zijn"
"Can not determine attribute filter type","Kan attribuut-filter-type niet bepalen"
"Can not find required columns: ","Kan verplichte kolommen niet vinden:"
"Can not get autoincrement value","Kan auto-increment waarde niet ophalen"
"Check Data","Controleer data"
"Column names have duplicates","Kolomnamen bevatten duplicaten"
"Column names is empty or is not an array","Kolomnamen zijn leeg of is geen array"
"Column names: ""%s"" are invalid","Kolomnamen: ""%s"" zijn ongeldig"
"Continue","Ga verder"
"Data is invalid or file is not uploaded","Data is ongeldig of bestand is niet geupload"
"Destination directory is not writable","Doelmap is niet schrijfbaar"
"Destination file is not writable","Doelbestand is niet schrijfbaar"
"Destination file path must be a string","Doelbestand-pad moet een string zijn"
"Entity Attributes","Entity Attributen"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter object moet een instance zijn van Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entity is niet bekend"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity type model moet een instance zijn van Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity type model moet een instance zijn van Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Fout in data structuur: gedrag is verschillend"
"Error in data structure: entity codes are mixed","Fout in data structuur: entiteit-codes zijn verschillend"
"Export","Exporteer"
"Export FAQ","Exporter FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Bestand bevat geen data, upload nog een bestand"
"File format is unknown","Bestandsformaat is niet bekend"
"File is partially valid, but import is not possible","Bestand is gedeeltelijk geldig, maar import is niet mogelijk"
"File is totally invalid. Please fix errors and re-upload file","Bestand is totaal ongeldig, repareer fouten en her-upload het bestand"
"File is valid! To start import process press ""Import"" button","Bestand is geldig! Om het importproces te starten druk op de ""Importeren"" knop"
"File is valid, but import is not possible","Bestand is geldig, maar importeren is niet mogelijk"
"Header column names already set","Header-kolomnamen zijn al ingesteld"
"Import","Importeren"
"Import / Export FAQ (Frequently Asked Questions)","Importeren / Exporteren FAQ (Veelgestelde vragen)"
"Import FAQ","Importeren FAQ (Veelgestelde vragen)"
"Import successfully done.","Importeren succesvol afgerond"
"Import/Export","Importeren/Exporteren"
"In/Out","In/Uit"
"Input entity code is not equal to entity adapter code","Input entity-code is niet gelijk aan entity-adapter-code"
"Invalid entity","Ongeldige entity"
"Invalid file format","Ongeldig bestandsformaat"
"Invalid parameters","Ongeldige parameters"
"Invalid seek position","Ongeldige zoek-positie"
"Invalid value for '%s'","Ongeldige waarde voor '%s'"
"No filter data provided","Geen filter-data geleverd"
"No source specified","Geen bron gespecificeerd"
"No valid data sent","Geel data verstuurd"
"No writer specified","Geen 'writer' gespecificeerd"
"Node does not has model token tag","Node heeft geen model-token-tag"
"Not implemented yet","Nog niet geimplementeerd"
"Please fix errors and re-upload file","Repareer fouten en her-upload bestanden"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Repareer fouten en her-upload bestanden of druk op ""Importeren"" om de rijen met fouten over te slaan"
"Some other FAQ","Een andere FAQ"
"Source file moving failed","Bronbestand verplaatsen mislukt"
"Source file path must be a string","Bronbestand-pad moet een string zijn"
"Source is not set","Bron is niet ingesteld"
"Status","Status"
