"Add","Toevoegen"
"Add gift message for shopping cart","Voeg cadeau-bericht toe aan bestelling"
"Add gift messages for quote item of shopping cart","Voeg cadeau-berichten toe aan offerte items van winkelwagen"
"Add gift messages to products of shopping cart","Voeg cadeau-berichten toe aan producten van winkelwagen"
"Add gift options","Voeg cadeau-optie toe"
"Add gift options for Individual Items","Voeg cadeau-opties toe aan individuele items"
"Add gift options for the Entire Order","Voeg cadeau-opties toe aan gehele bestelling"
"Add gift options.","Voeg cadeau-opties toe."
"Allow Gift Messages for Order Items","Kadoberichten toestaan bij bestelde artikelen"
"Allow Gift Messages on Order Level","Kadoberichten toestaan bij hele bestelling"
"An error occurred while saving the gift message.","Er is een fout opgetreden bij het opslaan van het kadobericht."
"Are you sure?","Weet u het zeker?"
"Cancel","Annuleren"
"Do you have any gift items in your order?","Zitten er kado's bij uw bestelling?"
"Edit","Wijzigen"
"From","Van"
"Gift Message","Bericht bij kado"
"Gift Message API","Cadeau-bericht API"
"Gift Options","Kado opties"
"Gift Options for","Cadeau-opties voor"
"Gift Options for Individual Items","Cadeau-opties voor individuele items"
"Gift Options for the Entire Order.","Cadeau-opties voor gehele bestelling"
"Gift Options for this address.","Cadeau-opties voor dit adres"
"Item %d of %d","Artikel %d van %d"
"Message","Bericht"
"No","Nee"
"OK","OK"
"Save Gift Message","Kadobericht opslaan"
"The gift message has been removed","Het kadobericht is verwijderd."
"The gift message has been saved","Het kadobericht is opgeslagen."
"The gift message has been saved.","Het kadobericht is opgeslagen."
"To","Tot"
"Unknown entity type","Onbekend entiteittype"
"Use config","Gebruik config"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen aan het artikel."
"You can leave this box blank if you do not wish to add a gift message for this address.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen voor dit adres."
"You can leave this box blank if you do not wish to add a gift message for whole order.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen aan deze order."
