"%s Item(s)","%s artikel(en)"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Demo Store. Alle rechten voorbehouden."
"(Shift-)Click or drag to change value","(Shift)klik of sleep om waarde te veranderen."
"(ver. %s)","(versie %s)"
"- Click on any of the time parts to increase it","- Klik op tijdknop om te verhogen"
"- Hold mouse button on any of the above buttons for faster selection.","- Hou muisknop ingedrukt op één van bovenstaande knoppen om sneller te selecteren."
"- Use the %s buttons to select month","- Gebruik de %s knoppen om een maand te selecteren"
"- Use the %s, %s buttons to select year","- Gebruik de %s knoppen om een jaar te selecteren"
"- or Shift-click to decrease it","- of shift+klik om te verhogen"
"- or click and drag for faster selection.","- of klik en sleep om sneller te selecteren."
"-- Please Select --","-- Selecteer --"
"1 column","1 kolom"
"2 columns with left bar","2 kolommen met linker balk"
"2 columns with right bar","2 kolommen met rechter balk"
"3 columns","3 kolommen"
"About the calendar","Over de kalender"
"All Empty Layout Pages","Alle paginas met een lege layout"
"All One-Column Layout Pages","Alle 1-kolom-paginas"
"All Pages","Alle paginas"
"All Pages (Print Version)","Alle print-paginas"
"All Three-Column Layout Pages","Alle 3-kolommen-paginas"
"All Two-Column Layout Pages (Left Column)","Alle 2-kolommen-paginas (linkerbalk)"
"All Two-Column Layout Pages (Right Column)","Alle 2-kolommen-paginas (rechterbalk)"
"Allow","Toestaan"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">hier</a> als er niets gebeurrt"
"Close","Sluiten"
"Close Window","Sluit venster"
"DHTML Date/Time Selector","DHTML Datum/Tijd selectie"
"Date selection:","Datum selectie:"
"Default Description","Standaard-omschrijving"
"Default welcome msg!","Standaard-welkomstbericht"
"Display %s first","Toon %s eerst"
"Distributed under GNU LGPL. See %s for details.","Uitgebracht onder GNU LGP licentie. Voor details zie %s."
"Drag to move","Sleep om te verplaatsen"
"Empty","Leeg"
"For latest version visit: %s","Voor laatste versie ga naar: %s"
"Free Shipping on orders over 50$","Gratis verzending op orders boven de 50 euro"
"Go Today","Ga vandaag"
"Help Us to Keep Magento Healthy","Help ons Magento gezond te houden."
"Interface Language","Interface-taal"
"Items %s to %s of %s total","Artikelen %s tot %s van %s in totaal"
"JavaScript seems to be disabled in your browser.","JavaScript lijkt te zijn uitgeschakeld in uw browser."
"Left Column","Hoofd-inhoud > Linker kolom"
"Main Content Area","Hoofd-inhoud > Middelste kolom"
"Navigation Bar","Navigatiebalk"
"Next","Volgende"
"Next month (hold for menu)","Volgende maand (ingedrukt voor menu)"
"Next year (hold for menu)","Volgend jaar (ingedrukt voor menu)"
"Page Bottom","Pagina onderaan"
"Page Footer","Pagina voettekst"
"Page Header","Pagina koptekst"
"Page Top","Pagina top"
"Page:","Pagina:"
"Prev. month (hold for menu)","Vorige maand (klik voor menu)"
"Prev. year (hold for menu)","Vorig jaar (klik voor menu)"
"Previous","Vorige"
"Redirecting...","Bezig met doorverwijzen..."
"Report All Bugs","Rapporteer alle bugs."
"Right Column","Hoofd-inhoud > Rechter kolom"
"Select Store","Selecteer winkel"
"Select Store:","Selecteer winkel"
"Select date","Selecteer datum"
"Show","Toon"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dit is een demo-winkel. Een geplaatste bestelling zal niet worden verwerkt."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Deze website vereist cookies om gebruik te maken alle functionaliteiten. Voor meer informatie over welke data er wordt opgeslagen in de cookies, bekijk onze <a href=""%s"">Privacy policy pagina</a>. Om cookies te accepteren, klik op de 'Toestaan' knop."
"Time selection:","Selecteer tijd"
"Time:","Tijd:"
"Welcome, %s!","Welkom, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","U moet JavaScript geactiveerd hebben om de volledige functionaliteit van deze website te kunnen benutten."
"Your Language","Uw taal"
"Your Language:","Uw taal:"
"per page","per pagina"
