"%s","%s"
"%s already exist.","%s bestaat al"
"%s already exists.","%s bestaat al"
"-- Please Select --","-- Selecteer a.u.b. --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Waarschuwing!</strong> Als u CDN gaat gebruiken, dan kunnen er problemen ontstaan met Javascript als CDN zich niet in hetzelfde domein bevindt."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.)."
"A category object is required for determining the product request path.","Er is een categorie-object vereist om het productverzoekpad te determineren."
"Add Block Names to Hints","Bloknamen aan Hints toevoegen"
"Add Secret Key to URLs","Voeg geheime sleutel toe aan URLs"
"Add Store Code to Urls","Winkelcode aan URL's toevoegen"
"Admin","Beheerder"
"Admin Base URL","Admin basis-URL"
"Admin User Emails","Admin gebruikers e-mails"
"Advanced","Geavanceerd"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete."
"Allow Countries","Landen toestaan"
"Allow Symlinks","Symlinks toestaan"
"Allowed IPs (comma separated)","Toegestane IP's (door komma's gescheiden)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Allows customers to stay logged in when switching between different stores.","Stelt bezoekers instaat om ingelogd te blijven, zelfs bij het switchen van winkels."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternatieve tekst voor volgende link in pagineringsmenu. Wanneer u deze leeg laat, wordt de standaard pijl getoond."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternatieve tekst voor vorige link in pagineringsmenu. Wanneer u deze leeg laat, wordt de standaard pijl getoond."
"An error occurred while saving. Please review the error log.","Er deed zich een fout voor tijdens het opslaan. Lees daarvoor het foutenlogboek."
"Anchor Text for Next","Tekst voor 'Volgende'"
"Anchor Text for Previous","Tekst voor 'Vorige'"
"Anchor symbol (#) is not supported in request path","Ankersymbool (#) wordt niet ondersteund in het opgevraagde pad."
"Anchor symbol (#) is not supported in url rewrite suffix","Ankersymbool (#) wordt niet ondersteund in achtervoegsel van url-rewrite"
"Are you sure?","Weet u het zeker?"
"Auto-redirect to Base URL","Auto-redirect naar de Basis URL"
"Back","Terug"
"Backup Options","Backup-opties"
"Base JavaScript URL","Basis JavaScript-URL"
"Base Link URL","Basis link-URL"
"Base Media URL","Basis media-URL"
"Base Secure URL","Base Secure URL"
"Base Skin URL","Basis skin-URL"
